"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/2012","1,050","1,220","1,250","1,020","7.65M","-14.63%"
"09/01/2012","1,020","1,050","1,120","1,000","6.74M","-2.86%"
"10/01/2012","980","1,020","1,070","950","10.61M","-3.92%"
"11/01/2012","680","980","1,000","670","50.88M","-30.61%"
"12/01/2012","680","680","810","680","58.60M","0.00%"
"01/01/2013","720","700","780","690","20.35M","5.88%"
"02/01/2013","900","720","960","720","53.79M","25.00%"
"03/01/2013","880","890","960","850","78.90M","-2.22%"
"04/01/2013","870","870","980","860","74.65M","-1.14%"
"05/01/2013","1,670","900","1,780","900","773.65M","91.95%"
"06/01/2013","1,120","1,670","1,700","990","333.72M","-32.93%"
"07/01/2013","1,040","1,100","1,250","940","141.56M","-7.14%"
"08/01/2013","1,090","1,020","1,330","950","166.07M","4.81%"
"09/01/2013","1,210","1,100","1,360","1,010","351.23M","11.01%"
"10/01/2013","1,540","1,200","1,590","1,200","426.07M","27.27%"
"11/01/2013","1,530","1,580","1,590","1,390","223.93M","-0.65%"
"12/01/2013","1,400","1,530","1,560","1,400","68.42M","-8.50%"
"01/01/2014","1,285","1,420","1,440","1,125","63.24M","-8.21%"
"02/01/2014","1,370","1,300","1,415","1,240","47.39M","6.61%"
"03/01/2014","1,490","1,370","1,530","1,355","118.32M","8.76%"
"04/01/2014","1,350","1,500","1,505","1,265","45.50M","-9.40%"
"05/01/2014","1,395","1,365","1,395","1,215","59.07M","3.33%"
"06/01/2014","1,340","1,395","1,480","1,320","32.84M","-3.94%"
"07/01/2014","1,370","1,340","1,395","1,315","14.60M","2.24%"
"08/01/2014","1,340","1,350","1,365","1,315","10.14M","-2.19%"
"09/01/2014","1,055","1,330","1,340","1,040","32.43M","-21.27%"
"10/01/2014","1,150","1,055","1,185","1,025","13.43M","9.00%"
"11/01/2014","1,175","1,150","1,190","1,100","10.37M","2.17%"
"12/01/2014","1,045","1,175","1,180","1,015","16.09M","-11.06%"
"01/01/2015","1,090","1,030","1,115","1,030","11.56M","4.31%"
"02/01/2015","930","1,075","1,095","930","38.36M","-14.68%"
"03/01/2015","995","930","1,000","910","24.86M","6.99%"
"04/01/2015","1,120","990","1,150","920","14.79M","12.56%"
"05/01/2015","1,000","1,125","1,200","1,000","23.00M","-10.71%"
"06/01/2015","895","1,015","1,030","865","19.02M","-10.50%"
"07/01/2015","960","910","990","860","10.40M","7.26%"
"08/01/2015","780","935","1,040","755","37.29M","-18.75%"
"09/01/2015","790","785","845","720","15.53M","1.28%"
"10/01/2015","825","800","850","790","14.13M","4.43%"
"11/01/2015","950","830","1,050","830","32.12M","15.15%"
"12/01/2015","955","945","985","855","12.46M","0.53%"
"01/01/2016","935","950","960","910","11.88M","-2.09%"
"02/01/2016","885","940","955","845","16.36M","-5.35%"
"03/01/2016","960","890","1,000","885","45.22M","8.47%"
"04/01/2016","1,000","960","1,080","900","80.00M","4.17%"
"05/01/2016","900","990","995","880","26.65M","-10.00%"
"06/01/2016","920","900","930","875","18.43M","2.22%"
"07/01/2016","1,050","915","1,100","900","60.70M","14.13%"
"08/01/2016","1,040","1,055","1,205","980","105.13M","-0.95%"
"09/01/2016","985","1,070","1,070","950","21.19M","-5.29%"
"10/01/2016","1,060","985","1,085","950","46.30M","7.61%"
"11/01/2016","975","1,065","1,100","950","24.49M","-8.02%"
"12/01/2016","955","975","990","935","31.19M","-2.05%"
"01/01/2017","1,045","965","1,185","955","85.63M","9.42%"
"02/01/2017","1,260","1,070","1,270","1,030","41.71M","20.57%"
"03/01/2017","1,310","1,270","1,360","1,050","61.59M","3.97%"
"04/01/2017","2,080","1,310","2,130","1,300","169.05M","58.78%"
"05/01/2017","2,530","2,150","2,990","2,110","241.86M","21.63%"
"06/01/2017","2,550","2,540","2,690","2,350","88.15M","0.79%"
"07/01/2017","2,770","2,550","3,050","2,400","85.47M","8.63%"
"08/01/2017","3,080","2,760","3,090","2,610","146.34M","11.19%"
"09/01/2017","4,190","3,100","4,390","3,060","198.88M","36.04%"
"10/01/2017","5,275","4,210","5,275","4,110","115.07M","25.89%"
"11/01/2017","5,225","5,400","6,000","4,650","143.50M","-0.95%"
"12/01/2017","5,400","5,250","5,525","4,550","129.24M","3.35%"
"01/01/2018","9,375","5,400","9,450","5,350","205.81M","73.61%"
"02/01/2018","10,750","9,425","10,975","7,600","194.78M","14.67%"
"03/01/2018","11,000","10,750","12,525","10,400","343.40M","2.33%"
"04/01/2018","13,200","11,100","13,425","10,675","214.27M","20.00%"
"05/01/2018","18,700","13,200","18,700","13,000","511.45M","41.67%"
"06/01/2018","18,600","18,500","20,700","16,275","191.57M","-0.53%"
"07/01/2018","19,200","18,500","20,375","14,650","212.82M","3.23%"
"08/01/2018","19,100","19,475","19,925","16,900","161.09M","-0.52%"
"09/01/2018","17,350","19,000","19,050","16,500","143.15M","-9.16%"
"10/01/2018","12,725","17,325","17,575","10,750","198.58M","-26.66%"
"11/01/2018","10,500","12,900","13,800","10,425","203.42M","-17.49%"
"12/01/2018","11,550","10,800","12,200","10,475","93.89M","10.00%"
"01/01/2019","13,000","11,650","13,700","11,150","122.39M","12.55%"
"02/01/2019","11,025","13,100","13,300","11,025","67.46M","-15.19%"
"03/01/2019","8,600","11,150","11,300","8,600","170.25M","-22.00%"
"04/01/2019","7,400","8,700","8,800","6,775","153.30M","-13.95%"
"05/01/2019","7,750","7,375","7,775","5,325","177.69M","4.73%"
"06/01/2019","9,375","7,850","10,150","6,750","280.29M","20.97%"
"07/01/2019","7,475","9,425","9,550","7,225","220.78M","-20.27%"
"08/01/2019","6,850","7,450","8,450","6,450","241.25M","-8.36%"
"09/01/2019","6,475","6,850","7,450","6,450","149.52M","-5.47%"
"10/01/2019","7,275","6,475","7,650","5,950","221.03M","12.36%"
"11/01/2019","6,800","7,225","8,575","6,750","192.43M","-6.53%"
"12/01/2019","7,700","6,800","8,250","6,800","103.89M","13.24%"
"01/01/2020","6,750","7,725","8,350","6,725","95.08M","-12.34%"
"02/01/2020","5,625","6,725","6,900","5,300","104.08M","-16.67%"
"03/01/2020","4,010","5,725","6,650","3,020","183.67M","-28.71%"
"04/01/2020","5,550","4,010","5,800","3,750","138.87M","38.40%"
"05/01/2020","5,250","5,375","5,500","4,850","61.75M","-5.41%"
"06/01/2020","5,975","5,250","6,300","5,175","121.29M","13.81%"
"07/01/2020","7,800","6,075","8,250","5,850","300.48M","30.54%"
"08/01/2020","9,300","7,850","9,975","7,275","212.87M","19.23%"
"09/01/2020","8,975","9,300","9,525","7,650","226.52M","-3.49%"
"10/01/2020","9,125","9,075","9,550","8,500","104.10M","1.67%"
"11/01/2020","8,675","9,025","9,775","8,675","231.07M","-4.93%"
"12/01/2020","10,425","8,800","11,275","8,775","288.86M","20.17%"
"01/01/2021","12,900","10,700","14,300","10,400","261.22M","23.74%"
"02/01/2021","13,175","12,900","15,550","12,500","246.69M","2.13%"
"03/01/2021","10,450","13,225","13,450","10,250","188.11M","-20.68%"
"04/01/2021","9,100","10,450","10,925","9,100","144.98M","-12.92%"
"05/01/2021","8,500","9,100","10,275","8,050","161.13M","-6.59%"
