"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2012","2,200","2,550","2,600","2,175","193.38M","-12.87%"
"05/01/2012","1,860","2,200","2,350","1,790","199.55M","-15.45%"
"06/01/2012","1,860","1,850","1,950","1,480","193.67M","0.00%"
"07/01/2012","1,720","1,880","2,075","1,690","190.60M","-7.53%"
"08/01/2012","1,530","1,720","1,780","1,480","77.22M","-11.05%"
"09/01/2012","1,620","1,530","1,700","1,490","142.72M","5.88%"
"10/01/2012","1,550","1,610","1,620","1,510","57.72M","-4.32%"
"11/01/2012","1,290","1,550","1,590","1,270","120.74M","-16.77%"
"12/01/2012","1,420","1,300","1,570","1,290","126.86M","10.08%"
"01/01/2013","1,470","1,430","1,730","1,410","390.66M","3.52%"
"02/01/2013","1,400","1,470","1,510","1,400","95.63M","-4.76%"
"03/01/2013","1,220","1,410","1,460","1,200","208.87M","-12.86%"
"04/01/2013","1,120","1,210","1,300","1,110","148.57M","-8.20%"
"05/01/2013","930","1,130","1,140","920","166.62M","-16.96%"
"06/01/2013","770","920","980","700","152.04M","-17.20%"
"07/01/2013","620","770","810","620","220.78M","-19.48%"
"08/01/2013","520","620","640","475","359.03M","-16.13%"
"09/01/2013","740","540","880","510","657.15M","42.31%"
"10/01/2013","780","710","880","710","293.53M","5.41%"
"11/01/2013","650","770","830","610","217.56M","-16.67%"
"12/01/2013","590","650","690","580","70.29M","-9.23%"
"01/01/2014","540","600","610","490","116.56M","-8.47%"
"02/01/2014","560","545","585","520","105.85M","3.70%"
"03/01/2014","585","555","635","555","167.91M","4.46%"
"04/01/2014","620","580","665","565","108.38M","5.98%"
"05/01/2014","685","610","740","600","212.76M","10.48%"
"06/01/2014","630","680","750","610","191.31M","-8.03%"
"07/01/2014","695","625","710","625","64.42M","10.32%"
"08/01/2014","735","685","740","680","80.10M","5.76%"
"09/01/2014","740","735","815","720","81.39M","0.68%"
"10/01/2014","635","750","750","600","101.02M","-14.19%"
"11/01/2014","560","630","635","535","49.70M","-11.81%"
"12/01/2014","510","570","575","500","55.64M","-8.93%"
"01/01/2015","492","515","520","485","32.69M","-3.53%"
"02/01/2015","454","492","497","451","27.26M","-7.72%"
"03/01/2015","434","454","483","426","17.93M","-4.41%"
"04/01/2015","290","432","435","290","28.31M","-33.18%"
"05/01/2015","370","300","431","300","120.76M","27.59%"
"06/01/2015","315","375","380","310","55.90M","-14.86%"
"07/01/2015","290","315","328","286","21.61M","-7.94%"
"08/01/2015","229","290","308","203","21.75M","-21.03%"
"09/01/2015","193","227","245","185","51.71M","-15.72%"
"10/01/2015","182","200","232","177","51.02M","-5.70%"
"11/01/2015","131","185","185","130","205.94M","-28.02%"
"12/01/2015","110","129","137","105","100.14M","-16.03%"
"01/01/2016","114","111","122","106","103.49M","3.64%"
"02/01/2016","130","116","155","110","516.65M","14.04%"
"03/01/2016","345","131","377","130","1.24B","165.38%"
"04/01/2016","482","340","520","252","1.85B","39.71%"
"05/01/2016","610","482","685","434","892.35M","26.56%"
"06/01/2016","540","615","685","510","321.63M","-11.48%"
"07/01/2016","605","540","710","515","275.29M","12.04%"
"08/01/2016","675","615","785","595","486.22M","11.57%"
"09/01/2016","615","680","720","580","156.57M","-8.89%"
"10/01/2016","655","625","740","625","295.52M","6.50%"
"11/01/2016","780","660","1,005","660","1.10B","19.08%"
"12/01/2016","705","790","850","670","166.55M","-9.62%"
"01/01/2017","775","705","835","670","191.25M","9.93%"
"02/01/2017","740","780","795","715","112.94M","-4.52%"
"03/01/2017","710","740","775","680","117.85M","-4.05%"
"04/01/2017","900","715","925","690","591.13M","26.76%"
"05/01/2017","800","905","1,320","735","3.37B","-11.11%"
"06/01/2017","785","810","875","780","562.84M","-1.88%"
"07/01/2017","825","790","965","750","1.01B","5.10%"
"08/01/2017","1,270","845","1,345","840","1.40B","53.94%"
"09/01/2017","1,940","1,280","2,150","1,265","1.47B","52.76%"
"10/01/2017","2,250","1,950","2,460","1,830","579.69M","15.98%"
"11/01/2017","2,800","2,270","2,950","2,250","698.80M","24.44%"
"12/01/2017","3,060","2,800","3,230","2,380","497.04M","9.29%"
"01/01/2018","4,470","3,070","4,630","3,070","615.39M","46.08%"
"02/01/2018","4,320","4,460","4,560","4,020","355.65M","-3.36%"
"03/01/2018","3,530","4,250","4,340","3,270","456.13M","-18.29%"
"04/01/2018","3,410","3,570","3,970","3,390","314.78M","-3.40%"
"05/01/2018","3,740","3,470","4,030","3,450","317.24M","9.68%"
"06/01/2018","3,420","3,770","4,130","3,280","269.93M","-8.56%"
"07/01/2018","3,600","3,430","3,890","3,040","357.93M","5.26%"
"08/01/2018","3,270","3,600","3,740","2,950","436.43M","-9.17%"
"09/01/2018","2,800","3,270","3,270","2,670","209.77M","-14.37%"
"10/01/2018","2,240","2,810","2,980","2,120","233.17M","-20.00%"
"11/01/2018","1,800","2,250","2,720","1,790","345.99M","-19.64%"
"12/01/2018","1,585","1,850","2,080","1,580","213.38M","-11.94%"
"01/01/2019","2,130","1,580","2,260","1,500","698.01M","34.38%"
"02/01/2019","1,955","2,130","2,240","1,755","496.20M","-8.22%"
"03/01/2019","1,825","1,990","2,190","1,820","269.25M","-6.65%"
"04/01/2019","1,705","1,810","1,825","1,635","199.10M","-6.58%"
"05/01/2019","1,410","1,710","1,725","1,155","221.56M","-17.30%"
"06/01/2019","1,680","1,410","1,835","1,310","363.03M","19.15%"
"07/01/2019","1,485","1,705","1,875","1,450","356.18M","-11.61%"
"08/01/2019","1,350","1,485","1,580","1,295","166.40M","-9.09%"
"09/01/2019","1,315","1,355","1,560","1,310","179.12M","-2.59%"
"10/01/2019","1,285","1,370","1,410","1,250","187.15M","-2.28%"
"11/01/2019","1,085","1,275","1,380","1,080","268.58M","-15.56%"
"12/01/2019","1,195","1,085","1,320","1,050","272.54M","10.14%"
"01/01/2020","960","1,195","1,310","935","150.46M","-19.67%"
"02/01/2020","750","945","965","685","97.30M","-21.88%"
"03/01/2020","695","750","825","364","165.13M","-7.33%"
"04/01/2020","795","700","865","660","169.73M","14.39%"
"05/01/2020","640","740","765","640","106.93M","-19.50%"
"06/01/2020","670","650","775","625","299.57M","4.69%"
"07/01/2020","980","665","1,085","650","892.09M","46.27%"
"08/01/2020","1,025","980","1,130","910","457.75M","4.59%"
"09/01/2020","920","1,025","1,095","835","333.87M","-10.24%"
"10/01/2020","935","925","1,030","890","328.88M","1.63%"
"11/01/2020","1,710","940","1,840","910","863.77M","82.89%"
"12/01/2020","1,730","1,730","2,050","1,635","985.60M","1.17%"
"01/01/2021","1,465","1,725","2,000","1,350","1.03B","-15.32%"
"02/01/2021","1,480","1,465","1,615","1,390","389.64M","1.02%"
"03/01/2021","1,425","1,490","1,780","1,380","598.14M","-3.72%"
"04/01/2021","1,420","1,450","1,545","1,370","188.84M","-0.35%"
"05/01/2021","1,285","1,430","1,540","1,265","282.25M","-9.51%"
"06/01/2021","1,300","1,300","1,485","1,255","382.25M","1.17%"
"07/01/2021","1,370","1,340","1,435","1,260","314.11M","5.38%"
"08/01/2021","1,340","1,380","1,580","1,285","448.38M","-2.19%"
"09/01/2021","1,900","1,330","1,970","1,310","1.02B","41.79%"
"10/01/2021","1,780","1,900","2,390","1,760","1.99B","-6.32%"
"11/01/2021","1,635","1,725","1,825","1,595","832.77M","-8.15%"
"12/01/2021","1,545","1,640","1,815","1,515","450.27M","-5.50%"
"01/01/2022","2,090","1,540","2,230","1,460","1.18B","35.28%"
"02/01/2022","2,230","2,080","2,350","1,940","946.93M","6.70%"
"03/01/2022","2,230","2,250","3,120","2,080","1.57B","0.00%"
"04/01/2022","2,690","2,240","2,980","2,220","848.77M","20.63%"
"05/01/2022","2,890","2,710","2,950","2,460","582.65M","7.43%"
"06/01/2022","2,330","2,870","3,150","2,330","598.99M","-19.38%"
"07/01/2022","2,670","2,330","2,760","2,130","366.98M","14.59%"
"08/01/2022","2,870","2,670","2,980","2,600","412.60M","7.49%"
"09/01/2022","3,000","2,870","3,320","2,870","580.18M","4.53%"
"10/01/2022","3,260","3,010","3,420","3,010","349.05M","8.67%"
"11/01/2022","2,900","3,240","3,250","2,650","282.70M","-11.04%"
"12/01/2022","2,730","3,050","3,080","2,710","210.53M","-5.86%"
"01/01/2023","2,410","2,710","2,790","2,380","240.21M","-11.72%"
"02/01/2023","2,270","2,360","2,440","2,200","4.35M","-5.81%"
