"Date","Price","Open","High","Low","Change %"
"Jul 73","7.130","7.130","7.130","7.130","3.33%"
"Aug 73","7.400","7.400","7.400","7.400","3.79%"
"Sep 73","7.090","7.090","7.090","7.090","-4.19%"
"Oct 73","6.790","6.790","6.790","6.790","-4.23%"
"Nov 73","6.730","6.730","6.730","6.730","-0.88%"
"Dec 73","6.740","6.740","6.740","6.740","0.15%"
"Jan 74","6.990","6.990","6.990","6.990","3.71%"
"Feb 74","6.960","6.960","6.960","6.960","-0.43%"
"Mar 74","7.210","7.210","7.210","7.210","3.59%"
"Apr 74","7.510","7.510","7.510","7.510","4.16%"
"May 74","7.580","7.580","7.580","7.580","0.93%"
"Jun 74","7.540","7.540","7.540","7.540","-0.53%"
"Jul 74","7.810","7.810","7.810","7.810","3.58%"
"Aug 74","8.040","8.040","8.040","8.040","2.94%"
"Sep 74","8.040","8.040","8.040","8.040","0.00%"
"Oct 74","7.900","7.900","7.900","7.900","-1.74%"
"Nov 74","7.680","7.680","7.680","7.680","-2.78%"
"Dec 74","7.430","7.430","7.430","7.430","-3.26%"
"Jan 75","7.500","7.500","7.500","7.500","0.94%"
"Feb 75","7.390","7.390","7.390","7.390","-1.47%"
"Mar 75","7.730","7.730","7.730","7.730","4.60%"
"Apr 75","8.230","8.230","8.230","8.230","6.47%"
"May 75","8.060","8.060","8.060","8.060","-2.07%"
"Jun 75","7.860","7.860","7.860","7.860","-2.48%"
"Jul 75","8.060","8.060","8.060","8.060","2.54%"
"Aug 75","8.400","8.400","8.400","8.400","4.22%"
"Sep 75","8.430","8.430","8.430","8.430","0.36%"
"Oct 75","8.140","8.140","8.140","8.140","-3.44%"
"Nov 75","8.050","8.050","8.050","8.050","-1.11%"
"Dec 75","8.000","8.000","8.000","8.000","-0.62%"
"Jan 76","7.740","7.740","7.740","7.740","-3.25%"
"Feb 76","7.790","7.790","7.790","7.790","0.65%"
"Mar 76","7.730","7.730","7.730","7.730","-0.77%"
"Apr 76","7.560","7.560","7.560","7.560","-2.20%"
"May 76","7.900","7.900","7.900","7.900","4.50%"
"Jun 76","7.860","7.860","7.860","7.860","-0.51%"
"Jul 76","7.830","7.830","7.830","7.830","-0.38%"
"Aug 76","7.770","7.770","7.770","7.770","-0.77%"
"Sep 76","7.590","7.590","7.590","7.590","-2.32%"
"Oct 76","7.410","7.410","7.410","7.410","-2.37%"
"Nov 76","7.290","7.290","7.290","7.290","-1.62%"
"Dec 76","6.870","6.870","6.870","6.870","-5.76%"
"Jan 77","7.210","7.210","7.210","7.210","4.95%"
"Feb 77","7.390","7.390","7.390","7.390","2.50%"
"Mar 77","7.460","7.460","7.460","7.460","0.95%"
"Apr 77","7.370","7.370","7.370","7.370","-1.21%"
"May 77","7.460","7.460","7.460","7.460","1.22%"
"Jun 77","7.280","7.280","7.280","7.280","-2.41%"
"Jul 77","7.330","7.330","7.330","7.330","0.69%"
"Aug 77","7.400","7.400","7.400","7.400","0.95%"
"Sep 77","7.340","7.340","7.340","7.340","-0.81%"
"Oct 77","7.520","7.520","7.520","7.520","2.45%"
"Nov 77","7.580","7.580","7.580","7.580","0.80%"
"Dec 77","7.690","7.690","7.690","7.690","1.45%"
"Jan 78","7.960","7.960","7.960","7.960","3.51%"
"Feb 78","8.030","8.030","8.030","8.030","0.88%"
"Mar 78","8.040","8.040","8.040","8.040","0.12%"
"Apr 78","8.150","8.150","8.150","8.150","1.37%"
"May 78","8.350","8.350","8.350","8.350","2.45%"
"Jun 78","8.460","8.460","8.460","8.460","1.32%"
"Jul 78","8.640","8.640","8.640","8.640","2.13%"
"Aug 78","8.410","8.410","8.410","8.410","-2.66%"
"Sep 78","8.420","8.420","8.420","8.420","0.12%"
"Oct 78","8.640","8.640","8.640","8.640","2.61%"
"Nov 78","8.810","8.810","8.810","8.810","1.97%"
"Dec 78","9.010","9.010","9.010","9.010","2.27%"
"Jan 79","9.100","9.100","9.100","9.100","1.00%"
"Feb 79","9.100","9.100","9.100","9.100","0.00%"
"Mar 79","9.120","9.120","9.120","9.120","0.22%"
"Apr 79","9.180","9.180","9.180","9.180","0.66%"
"May 79","9.250","9.250","9.250","9.250","0.76%"
"Jun 79","8.910","8.910","8.910","8.910","-3.68%"
"Jul 79","8.950","8.950","8.950","8.950","0.45%"
"Aug 79","9.030","9.030","9.030","9.030","0.89%"
"Sep 79","9.330","9.330","9.330","9.330","3.32%"
"Oct 79","10.300","10.300","10.300","10.300","10.40%"
"Nov 79","10.650","10.650","10.650","10.650","3.40%"
"Dec 79","10.390","10.390","10.390","10.390","-2.44%"
"Jan 80","11.110","11.110","11.110","11.110","6.93%"
"Feb 80","12.699","12.699","12.699","12.699","14.30%"
"Mar 80","12.604","12.604","12.604","12.604","-0.75%"
"Apr 80","10.719","10.719","10.719","10.719","-14.96%"
"May 80","10.208","10.208","10.208","10.208","-4.77%"
"Jun 80","9.433","9.433","9.433","9.433","-7.59%"
"Jul 80","10.250","10.250","10.250","10.250","8.66%"
"Aug 80","10.838","10.838","10.838","10.838","5.74%"
"Sep 80","11.836","11.836","11.836","11.836","9.21%"
"Oct 80","12.429","12.429","12.429","12.429","5.01%"
"Nov 80","12.426","12.426","12.426","12.426","-0.02%"
"Dec 80","12.411","12.411","12.411","12.411","-0.12%"
"Jan 81","12.670","12.670","12.670","12.670","2.09%"
"Feb 81","13.411","13.411","13.411","13.411","5.85%"
"Mar 81","13.101","13.101","13.101","13.101","-2.31%"
"Apr 81","14.088","14.088","14.088","14.088","7.53%"
"May 81","13.402","13.402","13.402","13.402","-4.87%"
"Jun 81","13.850","13.850","13.850","13.850","3.34%"
"Jul 81","14.651","14.651","14.651","14.651","5.78%"
"Aug 81","15.370","15.370","15.370","15.370","4.91%"
"Sep 81","15.820","15.820","15.820","15.820","2.93%"
"Oct 81","14.611","14.611","14.611","14.611","-7.64%"
"Nov 81","13.221","13.221","13.221","13.221","-9.51%"
"Dec 81","13.960","13.960","13.960","13.960","5.59%"
"Jan 82","14.114","14.114","14.114","14.114","1.10%"
"Feb 82","13.946","13.946","13.946","13.946","-1.19%"
"Mar 82","14.148","14.148","14.148","14.148","1.45%"
"Apr 82","13.844","13.844","13.844","13.844","-2.15%"
"May 82","13.776","13.776","13.776","13.776","-0.49%"
"Jun 82","14.407","14.407","14.407","14.407","4.58%"
"Jul 82","13.661","13.661","13.661","13.661","-5.18%"
"Aug 82","12.792","12.792","12.792","12.792","-6.36%"
"Sep 82","11.993","11.993","11.993","11.993","-6.25%"
"Oct 82","11.122","11.122","11.122","11.122","-7.26%"
"Nov 82","11.257","11.257","11.257","11.257","1.21%"
"Dec 82","10.319","10.319","10.319","10.319","-8.33%"
"Jan 83","10.774","10.774","10.774","10.774","4.41%"
"Feb 83","10.218","10.218","10.218","10.218","-5.16%"
"Mar 83","10.604","10.604","10.604","10.604","3.78%"
"Apr 83","10.240","10.240","10.240","10.240","-3.43%"
"May 83","10.854","10.854","10.854","10.854","6.00%"
"Jun 83","10.926","10.926","10.926","10.926","0.66%"
"Jul 83","11.736","11.736","11.736","11.736","7.41%"
"Aug 83","11.798","11.798","11.798","11.798","0.53%"
"Sep 83","11.394","11.394","11.394","11.394","-3.42%"
"Oct 83","11.707","11.707","11.707","11.707","2.75%"
"Nov 83","11.611","11.611","11.611","11.611","-0.82%"
"Dec 83","11.781","11.781","11.781","11.781","1.46%"
"Jan 84","11.638","11.638","11.638","11.638","-1.21%"
"Feb 84","12.006","12.006","12.006","12.006","3.16%"
"Mar 84","12.502","12.502","12.502","12.502","4.13%"
"Apr 84","12.799","12.799","12.799","12.799","2.38%"
"May 84","13.873","13.873","13.873","13.873","8.39%"
"Jun 84","13.827","13.827","13.827","13.827","-0.33%"
"Jul 84","12.897","12.897","12.897","12.897","-6.73%"
"Aug 84","12.858","12.858","12.858","12.858","-0.30%"
"Sep 84","12.462","12.462","12.462","12.462","-3.08%"
"Oct 84","11.779","11.779","11.779","11.779","-5.48%"
"Nov 84","11.593","11.593","11.593","11.593","-1.58%"
"Dec 84","11.542","11.542","11.542","11.542","-0.44%"
"Jan 85","11.146","11.146","11.146","11.146","-3.43%"
"Feb 85","11.927","11.927","11.927","11.927","7.01%"
"Mar 85","11.637","11.637","11.637","11.637","-2.43%"
"Apr 85","11.396","11.396","11.396","11.396","-2.07%"
"May 85","10.289","10.289","10.289","10.289","-9.71%"
"Jun 85","10.236","10.236","10.236","10.236","-0.52%"
"Jul 85","10.556","10.556","10.556","10.556","3.13%"
"Aug 85","10.322","10.322","10.322","10.322","-2.22%"
"Sep 85","10.288","10.288","10.288","10.288","-0.33%"
"Oct 85","9.990","9.990","9.990","9.990","-2.90%"
"Nov 85","9.629","9.629","9.629","9.629","-3.61%"
"Dec 85","8.987","8.987","8.987","8.987","-6.67%"
"Jan 86","9.044","9.044","9.044","9.044","0.63%"
"Feb 86","8.143","8.143","8.143","8.143","-9.96%"
"Mar 86","7.379","7.379","7.379","7.379","-9.38%"
"Apr 86","7.369","7.369","7.369","7.369","-0.14%"
"May 86","8.065","8.065","8.065","8.065","9.44%"
"Jun 86","7.338","7.338","7.338","7.338","-9.01%"
"Jul 86","7.329","7.329","7.329","7.329","-0.12%"
"Aug 86","6.923","6.923","6.923","6.923","-5.54%"
"Sep 86","7.432","7.432","7.432","7.432","7.35%"
"Oct 86","7.310","7.310","7.310","7.310","-1.64%"
"Nov 86","7.207","7.207","7.207","7.207","-1.41%"
"Dec 86","7.220","7.220","7.220","7.220","0.18%"
"Jan 87","7.160","7.160","7.160","7.160","-0.83%"
"Feb 87","7.177","7.177","7.177","7.177","0.24%"
"Mar 87","7.489","7.489","7.489","7.489","4.35%"
"Apr 87","8.182","8.182","8.182","8.182","9.25%"
"May 87","8.502","8.502","8.502","8.502","3.91%"
"Jun 87","8.371","8.371","8.371","8.371","-1.54%"
"Jul 87","8.657","8.657","8.657","8.657","3.42%"
"Aug 87","8.970","8.970","8.970","8.970","3.62%"
"Sep 87","9.637","9.637","9.637","9.637","7.44%"
"Oct 87","8.799","8.799","8.799","8.799","-8.70%"
"Nov 87","8.989","8.989","8.989","8.989","2.16%"
"Dec 87","8.834","8.834","8.834","8.834","-1.72%"
"Jan 88","8.272","8.272","8.272","8.272","-6.36%"
"Feb 88","8.152","8.152","8.152","8.152","-1.45%"
"Mar 88","8.569","8.569","8.569","8.569","5.12%"
"Apr 88","8.867","8.867","8.867","8.867","3.48%"
"May 88","9.213","9.213","9.213","9.213","3.90%"
"Jun 88","8.810","8.810","8.810","8.810","-4.37%"
"Jul 88","9.118","9.118","9.118","9.118","3.50%"
"Aug 88","9.254","9.254","9.254","9.254","1.49%"
"Sep 88","8.857","8.857","8.857","8.857","-4.29%"
"Oct 88","8.642","8.642","8.642","8.642","-2.43%"
"Nov 88","9.062","9.062","9.062","9.062","4.86%"
"Dec 88","9.145","9.145","9.145","9.145","0.92%"
"Jan 89","9.003","9.003","9.003","9.003","-1.55%"
"Feb 89","9.323","9.323","9.323","9.323","3.55%"
"Mar 89","9.304","9.304","9.304","9.304","-0.20%"
"Apr 89","9.018","9.018","9.018","9.018","-3.07%"
"May 89","8.603","8.603","8.603","8.603","-4.60%"
"Jun 89","8.097","8.097","8.097","8.097","-5.88%"
"Jul 89","7.812","7.812","7.812","7.812","-3.52%"
"Aug 89","8.256","8.256","8.256","8.256","5.68%"
"Sep 89","8.303","8.303","8.303","8.303","0.57%"
"Oct 89","7.923","7.923","7.923","7.923","-4.58%"
"Nov 89","7.838","7.838","7.838","7.838","-1.07%"
"Dec 89","7.933","7.933","7.933","7.933","1.21%"
"Jan 90","8.423","8.423","8.423","8.423","6.18%"
"Feb 90","8.527","8.527","8.527","8.527","1.23%"
"Mar 90","8.621","8.621","8.621","8.621","1.10%"
"Apr 90","9.073","9.073","9.073","9.073","5.24%"
"May 90","8.618","8.618","8.618","8.618","-5.01%"
"Jun 90","8.423","8.423","8.423","8.423","-2.26%"
"Jul 90","8.351","8.351","8.351","8.351","-0.85%"
"Aug 90","8.859","8.859","8.859","8.859","6.08%"
"Sep 90","8.810","8.810","8.810","8.810","-0.55%"
"Oct 90","8.627","8.627","8.627","8.627","-2.08%"
"Nov 90","8.256","8.256","8.256","8.256","-4.30%"
"Dec 90","8.079","8.079","8.079","8.079","-2.14%"
"Jan 91","8.021","8.021","8.021","8.021","-0.72%"
"Feb 91","8.045","8.045","8.045","8.045","0.30%"
"Mar 91","8.064","8.064","8.064","8.064","0.24%"
"Apr 91","8.018","8.018","8.018","8.018","-0.57%"
"May 91","8.061","8.061","8.061","8.061","0.54%"
"Jun 91","8.232","8.232","8.232","8.232","2.12%"
"Jul 91","8.157","8.157","8.157","8.157","-0.91%"
"Aug 91","7.814","7.814","7.814","7.814","-4.20%"
"Sep 91","7.452","7.452","7.452","7.452","-4.63%"
"Oct 91","7.422","7.422","7.422","7.422","-0.40%"
"Nov 91","7.374","7.374","7.374","7.374","-0.65%"
"Dec 91","6.699","6.699","6.699","6.699","-9.15%"
"Jan 92","7.276","7.276","7.276","7.276","8.61%"
"Feb 92","7.252","7.252","7.252","7.252","-0.33%"
"Mar 92","7.530","7.530","7.530","7.530","3.83%"
"Apr 92","7.583","7.583","7.583","7.583","0.70%"
"May 92","7.322","7.322","7.322","7.322","-3.44%"
"Jun 92","7.123","7.123","7.123","7.123","-2.72%"
"Jul 92","6.696","6.696","6.696","6.696","-5.99%"
"Aug 92","6.604","6.604","6.604","6.604","-1.37%"
"Sep 92","6.354","6.354","6.354","6.354","-3.79%"
"Oct 92","6.789","6.789","6.789","6.789","6.85%"
"Nov 92","6.928","6.928","6.928","6.928","2.05%"
"Dec 92","6.690","6.690","6.690","6.690","-3.44%"
"Jan 93","6.361","6.361","6.361","6.361","-4.92%"
"Feb 93","6.013","6.013","6.013","6.013","-5.47%"
"Mar 93","6.024","6.024","6.024","6.024","0.18%"
"Apr 93","6.009","6.009","6.009","6.009","-0.25%"
"May 93","6.110","6.110","6.110","6.110","1.68%"
"Jun 93","5.778","5.778","5.778","5.778","-5.43%"
"Jul 93","5.809","5.809","5.809","5.809","0.54%"
"Aug 93","5.446","5.446","5.446","5.446","-6.25%"
"Sep 93","5.374","5.374","5.374","5.374","-1.32%"
"Oct 93","5.420","5.420","5.420","5.420","0.86%"
"Nov 93","5.817","5.817","5.817","5.817","7.32%"
"Dec 93","5.787","5.787","5.787","5.787","-0.52%"
"Jan 94","5.645","5.645","5.645","5.645","-2.45%"
"Feb 94","6.133","6.133","6.133","6.133","8.64%"
"Mar 94","6.738","6.738","6.738","6.738","9.86%"
"Apr 94","7.041","7.041","7.041","7.041","4.50%"
"May 94","7.152","7.152","7.152","7.152","1.58%"
"Jun 94","7.325","7.325","7.325","7.325","2.42%"
"Jul 94","7.113","7.113","7.113","7.113","-2.89%"
"Aug 94","7.178","7.178","7.178","7.178","0.91%"
"Sep 94","7.608","7.608","7.608","7.608","5.99%"
"Oct 94","7.812","7.812","7.812","7.812","2.68%"
"Nov 94","7.906","7.906","7.906","7.906","1.20%"
"Dec 94","7.831","7.831","7.831","7.831","-0.95%"
"Jan 95","7.579","7.579","7.579","7.579","-3.22%"
"Feb 95","7.205","7.205","7.205","7.205","-4.93%"
"Mar 95","7.198","7.198","7.198","7.198","-0.10%"
"Apr 95","7.055","7.055","7.055","7.055","-1.99%"
"May 95","6.286","6.286","6.286","6.286","-10.90%"
"Jun 95","6.207","6.207","6.207","6.207","-1.26%"
"Jul 95","6.424","6.424","6.424","6.424","3.50%"
"Aug 95","6.286","6.286","6.286","6.286","-2.15%"
"Sep 95","6.182","6.182","6.182","6.182","-1.65%"
"Oct 95","6.024","6.024","6.024","6.024","-2.56%"
"Nov 95","5.745","5.745","5.745","5.745","-4.63%"
"Dec 95","5.575","5.575","5.575","5.575","-2.96%"
"Jan 96","5.576","5.576","5.576","5.576","0.02%"
"Feb 96","6.103","6.103","6.103","6.103","9.45%"
"Mar 96","6.334","6.334","6.334","6.334","3.79%"
"Apr 96","6.679","6.679","6.679","6.679","5.45%"
"May 96","6.848","6.848","6.848","6.848","2.53%"
"Jun 96","6.716","6.716","6.716","6.716","-1.93%"
"Jul 96","6.798","6.798","6.798","6.798","1.22%"
"Aug 96","6.945","6.945","6.945","6.945","2.16%"
"Sep 96","6.703","6.703","6.703","6.703","-3.48%"
"Oct 96","6.341","6.341","6.341","6.341","-5.40%"
"Nov 96","6.048","6.048","6.048","6.048","-4.62%"
"Dec 96","6.429","6.429","6.429","6.429","6.30%"
"Jan 97","6.503","6.503","6.503","6.503","1.15%"
"Feb 97","6.556","6.556","6.556","6.556","0.82%"
"Mar 97","6.907","6.907","6.907","6.907","5.35%"
"Apr 97","6.715","6.715","6.715","6.715","-2.78%"
"May 97","6.663","6.663","6.663","6.663","-0.77%"
"Jun 97","6.502","6.502","6.502","6.502","-2.42%"
"Jul 97","6.013","6.013","6.013","6.013","-7.52%"
"Aug 97","6.339","6.339","6.339","6.339","5.42%"
"Sep 97","6.103","6.103","6.103","6.103","-3.72%"
"Oct 97","5.831","5.831","5.831","5.831","-4.46%"
"Nov 97","5.880","5.880","5.880","5.880","0.84%"
"Dec 97","5.744","5.744","5.744","5.744","-2.31%"
"Jan 98","5.516","5.516","5.516","5.516","-3.97%"
"Feb 98","5.624","5.624","5.624","5.624","1.96%"
"Mar 98","5.658","5.658","5.658","5.658","0.60%"
"Apr 98","5.820","5.820","5.820","5.820","2.86%"
"May 98","5.558","5.558","5.558","5.558","-4.50%"
"Jun 98","5.446","5.446","5.446","5.446","-2.02%"
"Jul 98","5.494","5.494","5.494","5.494","0.88%"
"Aug 98","5.048","5.048","5.048","5.048","-8.12%"
"Sep 98","4.422","4.422","4.422","4.422","-12.40%"
"Oct 98","4.603","4.603","4.603","4.603","4.09%"
"Nov 98","4.722","4.722","4.722","4.722","2.59%"
"Dec 98","4.658","4.658","4.658","4.658","-1.36%"
"Jan 99","4.653","4.653","4.653","4.653","-0.11%"
"Feb 99","5.294","5.294","5.294","5.294","13.78%"
"Mar 99","5.242","5.242","5.242","5.242","-0.98%"
"Apr 99","5.350","5.350","5.350","5.350","2.06%"
"May 99","5.624","5.624","5.624","5.624","5.12%"
"Jun 99","5.785","5.785","5.785","5.785","2.86%"
"Jul 99","5.902","5.902","5.902","5.902","2.02%"
"Aug 99","5.974","5.974","5.974","5.974","1.22%"
"Sep 99","5.881","5.881","5.881","5.881","-1.56%"
"Oct 99","6.028","6.028","6.028","6.028","2.50%"
"Nov 99","6.193","6.193","6.193","6.193","2.74%"
"Dec 99","6.435","6.435","6.435","6.435","3.91%"
"Jan 00","6.662","6.662","6.662","6.662","3.53%"
"Feb 00","6.409","6.409","6.409","6.409","-3.80%"
"Mar 00","6.002","6.002","6.002","6.002","-6.35%"
"Apr 00","6.218","6.218","6.218","6.218","3.60%"
"May 00","6.285","6.285","6.285","6.285","1.08%"
"Jun 00","6.027","6.027","6.027","6.027","-4.11%"
"Jul 00","6.040","6.040","6.040","6.040","0.22%"
"Aug 00","5.729","5.729","5.729","5.729","-5.15%"
"Sep 00","5.808","5.808","5.808","5.808","1.38%"
"Oct 00","5.761","5.761","5.761","5.761","-0.81%"
"Nov 00","5.478","5.478","5.478","5.478","-4.91%"
"Dec 00","5.112","5.112","5.112","5.112","-6.68%"
"Jan 01","5.112","5.112","5.112","5.112","0.00%"
"Feb 01","4.904","4.904","4.904","4.904","-4.07%"
"Mar 01","4.915","4.915","4.915","4.915","0.22%"
"Apr 01","5.336","5.336","5.336","5.336","8.57%"
"May 01","5.385","5.385","5.385","5.385","0.92%"
"Jun 01","5.404","5.404","5.404","5.404","0.35%"
"Jul 01","5.055","5.055","5.055","5.055","-6.46%"
"Aug 01","4.840","4.840","4.840","4.840","-4.25%"
"Sep 01","4.590","4.590","4.590","4.590","-5.17%"
"Oct 01","4.244","4.244","4.244","4.244","-7.54%"
"Nov 01","4.754","4.754","4.754","4.754","12.02%"
"Dec 01","5.029","5.029","5.029","5.029","5.78%"
"Jan 02","5.046","5.046","5.046","5.046","0.34%"
"Feb 02","4.874","4.874","4.874","4.874","-3.41%"
"Mar 02","5.406","5.406","5.406","5.406","10.92%"
"Apr 02","5.089","5.089","5.089","5.089","-5.86%"
"May 02","5.045","5.045","5.045","5.045","-0.86%"
"Jun 02","4.809","4.809","4.809","4.809","-4.68%"
"Jul 02","4.459","4.459","4.459","4.459","-7.28%"
"Aug 02","4.130","4.130","4.130","4.130","-7.38%"
"Sep 02","3.600","3.600","3.600","3.600","-12.83%"
"Oct 02","3.895","3.895","3.895","3.895","8.19%"
"Nov 02","4.211","4.211","4.211","4.211","8.11%"
"Dec 02","3.818","3.818","3.818","3.818","-9.33%"
"Jan 03","3.966","3.966","3.966","3.966","3.88%"
"Feb 03","3.692","3.692","3.692","3.692","-6.91%"
"Mar 03","3.802","3.802","3.802","3.802","2.98%"
"Apr 03","3.840","3.840","3.840","3.840","1.00%"
"May 03","3.373","3.373","3.373","3.373","-12.16%"
"Jun 03","3.516","3.516","3.516","3.516","4.24%"
"Jul 03","4.410","4.410","4.410","4.410","25.43%"
"Aug 03","4.470","4.470","4.470","4.470","1.36%"
"Sep 03","3.940","3.940","3.940","3.940","-11.86%"
"Oct 03","4.297","4.297","4.297","4.297","9.06%"
"Nov 03","4.334","4.334","4.334","4.334","0.86%"
"Dec 03","4.253","4.253","4.253","4.253","-1.87%"
"Jan 04","4.134","4.134","4.134","4.134","-2.80%"
"Feb 04","3.972","3.972","3.972","3.972","-3.92%"
"Mar 04","3.837","3.837","3.837","3.837","-3.40%"
"Apr 04","4.510","4.510","4.510","4.510","17.54%"
"May 04","4.665","4.665","4.665","4.665","3.44%"
"Jun 04","4.583","4.583","4.583","4.583","-1.76%"
"Jul 04","4.491","4.491","4.491","4.491","-2.01%"
"Aug 04","4.240","4.240","4.240","4.240","-5.59%"
"Sep 04","4.123","4.123","4.123","4.123","-2.76%"
"Oct 04","4.029","4.029","4.029","4.029","-2.28%"
"Nov 04","4.355","4.355","4.355","4.355","8.09%"
"Dec 04","4.222","4.222","4.222","4.222","-3.05%"
"Jan 05","4.132","4.132","4.132","4.132","-2.13%"
"Feb 05","4.381","4.381","4.381","4.381","6.03%"
"Mar 05","4.488","4.488","4.488","4.488","2.44%"
"Apr 05","4.200","4.200","4.200","4.200","-6.42%"
"May 05","3.987","3.987","3.987","3.987","-5.07%"
"Jun 05","3.921","3.921","3.921","3.921","-1.66%"
"Jul 05","4.282","4.282","4.282","4.282","9.21%"
"Aug 05","4.014","4.014","4.014","4.014","-6.26%"
"Sep 05","4.332","4.332","4.332","4.332","7.92%"
"Oct 05","4.557","4.557","4.557","4.557","5.19%"
"Nov 05","4.490","4.490","4.490","4.490","-1.47%"
"Dec 05","4.395","4.395","4.395","4.395","-2.12%"
"Jan 06","4.519","4.519","4.519","4.519","2.82%"
"Feb 06","4.557","4.557","4.557","4.557","0.84%"
"Mar 06","4.853","4.853","4.853","4.853","6.50%"
"Apr 06","5.057","5.057","5.057","5.057","4.20%"
"May 06","5.123","5.123","5.123","5.123","1.31%"
"Jun 06","5.145","5.145","5.145","5.145","0.43%"
"Jul 06","4.988","4.988","4.988","4.988","-3.05%"
"Aug 06","4.732","4.732","4.732","4.732","-5.13%"
"Sep 06","4.633","4.633","4.633","4.633","-2.09%"
"Oct 06","4.604","4.604","4.604","4.604","-0.63%"
"Nov 06","4.462","4.462","4.462","4.462","-3.08%"
"Dec 06","4.700","4.700","4.700","4.700","5.33%"
"Jan 07","4.814","4.814","4.814","4.814","2.43%"
"Feb 07","4.577","4.577","4.577","4.577","-4.92%"
"Mar 07","4.648","4.648","4.648","4.648","1.55%"
"Apr 07","4.628","4.628","4.628","4.628","-0.43%"
"May 07","4.892","4.892","4.892","4.892","5.70%"
"Jun 07","5.027","5.027","5.027","5.027","2.76%"
"Jul 07","4.733","4.733","4.733","4.733","-5.85%"
"Aug 07","4.527","4.527","4.527","4.527","-4.35%"
"Sep 07","4.594","4.594","4.594","4.594","1.48%"
"Oct 07","4.473","4.473","4.473","4.473","-2.63%"
"Nov 07","3.949","3.949","3.949","3.949","-11.71%"
"Dec 07","4.035","4.035","4.035","4.035","2.18%"
"Jan 08","3.597","3.597","3.597","3.597","-10.86%"
"Feb 08","3.519","3.519","3.519","3.519","-2.17%"
"Mar 08","3.421","3.421","3.421","3.421","-2.78%"
"Apr 08","3.734","3.734","3.734","3.734","9.15%"
"May 08","4.067","3.740","4.141","3.683","8.92%"
"Jun 08","3.975","4.058","4.288","3.858","-2.26%"
"Jul 08","3.958","3.967","4.178","3.771","-0.43%"
"Aug 08","3.825","3.958","4.094","3.763","-3.36%"
"Sep 08","3.829","3.827","3.909","3.251","0.10%"
"Oct 08","3.970","3.748","4.110","3.402","3.68%"
"Nov 08","2.920","3.959","3.984","2.908","-26.45%"
"Dec 08","2.220","2.960","2.962","2.040","-23.97%"
"Jan 09","2.851","2.250","2.894","2.148","28.42%"
"Feb 09","3.021","2.851","3.058","2.619","5.96%"
"Mar 09","2.668","3.020","3.045","2.462","-11.68%"
"Apr 09","3.119","2.668","3.166","2.650","16.90%"
"May 09","3.461","3.115","3.754","3.072","10.97%"
"Jun 09","3.537","3.492","4.008","3.454","2.20%"
"Jul 09","3.482","3.527","3.766","3.261","-1.55%"
"Aug 09","3.401","3.512","3.893","3.374","-2.33%"
