"Date","Price","Open","High","Low","Change %"
"Feb 02","1.7560","1.7560","1.7560","1.7560","-1.18%"
"Mar 02","1.8070","1.8070","1.8070","1.8070","2.90%"
"Apr 02","1.7820","1.7820","1.7820","1.7820","-1.38%"
"May 02","1.7460","1.7460","1.7460","1.7460","-2.02%"
"Jun 02","1.7000","1.7000","1.7000","1.7000","-2.63%"
"Jul 02","1.7050","1.7050","1.7050","1.7050","0.29%"
"Aug 02","1.6890","1.6890","1.6890","1.6890","-0.94%"
"Sep 02","1.5510","1.5510","1.5510","1.5510","-8.17%"
"Oct 02","1.5150","1.5150","1.5150","1.5150","-2.32%"
"Nov 02","1.2540","1.2540","1.2540","1.2540","-17.23%"
"Dec 02","1.2190","1.2190","1.2190","1.2190","-2.79%"
"Jan 03","1.1770","1.1770","1.1770","1.1770","-3.45%"
"Feb 03","1.2030","1.2030","1.2030","1.2030","2.21%"
"Mar 03","1.1270","1.1270","1.1270","1.1270","-6.32%"
"Apr 03","1.1270","1.1270","1.1270","1.1270","0.00%"
"May 03","1.1110","1.1110","1.1110","1.1110","-1.42%"
"Jun 03","0.9170","0.9170","0.9170","0.9170","-17.46%"
"Jul 03","0.9380","0.9380","0.9380","0.9380","2.29%"
"Aug 03","0.9730","0.9730","0.9730","0.9730","3.73%"
"Sep 03","0.9480","0.9480","0.9480","0.9480","-2.57%"
"Oct 03","0.9530","0.9530","0.9530","0.9530","0.53%"
"Nov 03","0.9370","0.9370","0.9370","0.9370","-1.68%"
"Dec 03","0.9270","0.9270","0.9270","0.9270","-1.07%"
"Jan 04","0.9170","0.9170","0.9170","0.9170","-1.08%"
"Feb 04","0.9480","0.9480","0.9480","0.9480","3.38%"
"Mar 04","0.9430","0.9430","0.9430","0.9430","-0.53%"
"Apr 04","0.9680","0.9680","0.9680","0.9680","2.65%"
"May 04","1.0600","1.0600","1.0600","1.0600","9.50%"
"Jun 04","1.2800","1.2800","1.2800","1.2800","20.75%"
"Jul 04","1.4390","1.4390","1.4390","1.4390","12.42%"
"Aug 04","1.5830","1.5830","1.5830","1.5830","10.01%"
"Sep 04","1.6950","1.6950","1.6950","1.6950","7.08%"
"Oct 04","1.8940","1.8940","1.8940","1.8940","11.74%"
"Nov 04","2.2120","2.2120","2.2120","2.2120","16.79%"
"Dec 04","2.2070","2.2070","2.2070","2.2070","-0.23%"
"Jan 05","2.4470","2.4470","2.4470","2.4470","10.87%"
"Feb 05","2.7240","2.7240","2.7240","2.7240","11.32%"
"Mar 05","2.7660","2.7660","2.7660","2.7660","1.54%"
"Apr 05","2.8690","2.8690","2.8690","2.8690","3.72%"
"May 05","2.9300","2.9300","2.9300","2.9300","2.13%"
"Jun 05","3.1010","3.1010","3.1010","3.1010","5.84%"
"Jul 05","3.3890","3.3890","3.3890","3.3890","9.29%"
"Aug 05","3.5030","3.5030","3.5030","3.5030","3.36%"
"Sep 05","3.5180","3.5180","3.5180","3.5180","0.43%"
"Oct 05","3.8670","3.8670","3.8670","3.8670","9.92%"
"Nov 05","3.9370","3.9370","3.9370","3.9370","1.81%"
"Dec 05","3.9970","3.9970","3.9970","3.9970","1.52%"
"Jan 06","4.4540","4.4540","4.4540","4.4540","11.43%"
"Feb 06","4.6020","4.6020","4.6020","4.6020","3.32%"
"Mar 06","4.5920","4.5920","4.5920","4.5920","-0.22%"
"Apr 06","4.7580","4.7580","4.7580","4.7580","3.61%"
"May 06","4.8020","4.8020","4.8020","4.8020","0.92%"
"Jun 06","4.9760","4.9760","4.9760","4.9760","3.62%"
"Jul 06","5.0480","5.0480","5.0480","5.0480","1.45%"
"Aug 06","5.0300","5.0300","5.0300","5.0300","-0.36%"
"Sep 06","4.8510","4.8510","4.8510","4.8510","-3.56%"
"Oct 06","5.0680","5.0680","5.0680","5.0680","4.47%"
"Nov 06","5.0140","5.0140","5.0140","5.0140","-1.07%"
"Dec 06","4.9800","4.9800","4.9800","4.9800","-0.68%"
"Jan 07","5.1030","5.1030","5.1030","5.1030","2.47%"
"Feb 07","5.1140","5.1140","5.1140","5.1140","0.22%"
"Mar 07","5.0170","5.0170","5.0170","5.0170","-1.90%"
"Apr 07","4.8350","4.8350","4.8350","4.8350","-3.63%"
"May 07","4.7100","4.7100","4.7100","4.7100","-2.59%"
"Jun 07","4.7570","4.7570","4.7570","4.7570","1.00%"
"Jul 07","4.9200","4.9200","4.9200","4.9200","3.43%"
"Aug 07","3.8620","3.8620","3.8620","3.8620","-21.50%"
"Sep 07","3.6720","3.6720","3.6720","3.6720","-4.92%"
"Oct 07","3.8280","3.8280","3.8280","3.8280","4.25%"
"Nov 07","2.9590","2.9590","2.9590","2.9590","-22.70%"
"Dec 07","3.1280","3.1550","3.3830","2.7380","5.71%"
"Jan 08","1.8490","3.3840","3.4040","1.9360","-40.89%"
"Feb 08","1.7660","1.9410","2.3260","1.7660","-4.49%"
"Mar 08","1.2640","1.8380","1.9300","0.5140","-28.43%"
"Apr 08","1.3520","1.3980","1.5260","1.0600","6.96%"
"May 08","1.9050","1.3930","2.1360","1.3460","40.90%"
"Jun 08","1.7200","1.9050","2.1150","1.6340","-9.71%"
"Jul 08","1.6700","1.8390","1.9150","1.3070","-2.91%"
"Aug 08","1.7260","1.6750","1.9200","1.5980","3.35%"
"Sep 08","0.9100","1.7150","1.8790","0.0200","-47.28%"
"Oct 08","0.4420","0.8740","1.2920","0.1170","-51.43%"
"Nov 08","0.0360","0.4470","0.5280","0.0050","-91.86%"
"Dec 08","0.1270","0.0250","0.5130","-0.0050","252.78%"
"Jan 09","0.2430","0.1170","0.2540","0.0560","91.34%"
"Feb 09","0.2540","0.2430","0.3450","0.2180","4.53%"
"Mar 09","0.2080","0.2540","0.2990","0.1220","-18.11%"
"Apr 09","0.1320","0.2080","0.2380","0.0810","-36.54%"
"May 09","0.1370","0.1320","0.2080","0.1290","3.79%"
"Jun 09","0.1930","0.1520","0.2230","0.0080","40.88%"
"Jul 09","0.1850","0.1930","0.2740","0.0130","-4.15%"
"Aug 09","0.1420","0.1880","0.2540","0.0050","-23.24%"
"Sep 09","0.1270","0.1570","0.2360","0.0150","-10.56%"
"Oct 09","0.0510","0.1420","0.1620","0.0480","-59.84%"
"Nov 09","0.0560","0.0610","0.1420","0.0130","9.80%"
"Dec 09","0.0610","0.0710","0.2330","0.0230","8.93%"
"Jan 10","0.0760","0.0610","0.0910","0.0300","24.59%"
"Feb 10","0.1240","0.0810","0.1320","0.0050","63.16%"
"Mar 10","0.1570","0.1320","0.1770","0.1140","26.61%"
"Apr 10","0.1650","0.1570","0.1830","0.1420","5.10%"
"May 10","0.1620","0.1650","0.1850","0.1040","-1.82%"
"Jun 10","0.1770","0.1620","0.1880","0.0200","9.26%"
"Jul 10","0.1470","0.1830","0.1880","0.1450","-16.95%"
"Aug 10","0.1420","0.1520","0.1720","0.1370","-3.40%"
"Sep 10","0.1620","0.1470","0.1720","0.1290","14.08%"
"Oct 10","0.1190","0.1620","0.2030","0.1140","-26.54%"
"Nov 10","0.1670","0.1130","0.1880","0.1120","40.34%"
"Dec 10","0.1270","0.1670","0.2030","0.1010","-23.95%"
"Jan 11","0.1520","0.1240","0.1620","0.1240","19.69%"
"Feb 11","0.1420","0.1570","0.6210","0.0890","-6.58%"
"Mar 11","0.0940","0.1400","0.1550","0.0660","-33.80%"
"Apr 11","0.0430","0.0630","0.1040","0.0300","-54.26%"
"May 11","0.0530","0.0430","0.0660","0.0080","23.26%"
"Jun 11","0.0200","0.0530","0.0660","0.0030","-62.26%"
"Jul 11","0.0990","0.0200","0.1020","0.0030","395.00%"
"Aug 11","0.0150","0.0970","0.1120","-0.0100","-84.85%"
"Sep 11","0.0250","0.0150","0.0360","0.0020","66.67%"
"Oct 11","-0.0100","0.0230","0.0510","-0.0100","-140.00%"
"Nov 11","0.0080","0.0150","0.0300","0.0020","-180.00%"
"Dec 11","0.0200","0.0050","0.1220","-0.0100","150.00%"
"Jan 12","0.0559","0.0203","0.0737","0.0102","179.50%"
"Feb 12","0.0814","0.0610","0.8890","0.0559","45.62%"
"Mar 12","0.0712","0.0839","0.3383","0.0610","-12.53%"
"Apr 12","0.0966","0.0788","0.0970","0.0661","35.67%"
"May 12","0.0710","0.0915","0.1042","0.0583","-26.50%"
"Jun 12","0.0862","0.0685","0.1116","0.0608","21.41%"
"Jul 12","0.1065","0.1014","0.1166","0.0735","23.55%"
"Aug 12","0.0913","0.0963","0.1192","0.0786","-14.27%"
"Sep 12","0.0938","0.0913","0.1192","0.0862","2.74%"
"Oct 12","0.1141","0.0862","0.1318","0.0862","21.64%"
"Nov 12","0.0811","0.0989","0.1166","0.0735","-28.92%"
"Dec 12","0.0456","0.0811","0.1065","0.0076","-43.77%"
"Jan 13","0.0786","0.0456","0.0887","0.0355","72.37%"
"Feb 13","0.1065","0.0685","0.1318","0.0583","35.50%"
"Mar 13","0.0710","0.1065","0.1116","0.0608","-33.33%"
"Apr 13","0.0507","0.0786","0.0938","0.0482","-28.59%"
"May 13","0.0380","0.0558","0.0583","0.0279","-25.05%"
"Jun 13","0.0355","0.0482","0.0659","0.0330","-6.58%"
"Jul 13","0.0380","0.0406","0.0735","0.0101","7.04%"
"Aug 13","0.0254","0.0406","0.0634","0.0177","-33.16%"
"Sep 13","0.0152","0.0304","0.0355","0.0025","-40.16%"
"Oct 13","0.0380","0.0304","0.1724","0.0127","150.00%"
"Nov 13","0.0608","0.0406","0.0938","0.0355","60.00%"
"Dec 13","0.0735","0.0608","0.0913","0.0406","20.89%"
"Jan 14","0.0203","0.0735","0.0761","0.0177","-72.38%"
"Feb 14","0.0507","0.0532","0.1116","0.0152","149.75%"
"Mar 14","0.0456","0.0507","0.0659","0.0355","-10.06%"
"Apr 14","0.0253","0.0406","0.0482","0.0101","-44.52%"
"May 14","0.0355","0.0279","0.0558","0.0203","40.32%"
"Jun 14","0.0456","0.0355","0.0456","0.0101","28.45%"
"Jul 14","0.0253","0.0406","0.0558","0.0101","-44.52%"
"Aug 14","0.0250","0.0250","0.0410","0.0150","-1.19%"
"Sep 14","0.0230","0.0280","0.0360","0.0050","-8.00%"
"Oct 14","0.0080","0.0180","0.0360","0.0050","-65.22%"
"Nov 14","0.0130","0.0100","0.0410","0.0020","62.50%"
"Dec 14","0.0410","0.0150","0.0560","0.0020","215.38%"
"Jan 15","0.0130","0.0460","0.0480","0.0080","-68.29%"
"Feb 15","0.0150","0.0130","0.0360","0.0000","15.38%"
"Mar 15","0.0360","0.0180","0.0660","0.0050","140.00%"
"Apr 15","0.0050","0.0560","0.0560","0.0020","-86.11%"
