"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/1988","344.66","344.66","350.30","329.00","","4.29%"
"02/01/1988","366.95","366.95","366.99","343.48","","6.47%"
"03/01/1988","374.64","374.64","382.61","366.68","","2.10%"
"04/01/1988","379.23","379.23","384.26","369.82","","1.23%"
"05/01/1988","370.34","370.34","383.06","362.37","","-2.34%"
"06/01/1988","394.66","394.66","394.77","370.33","","6.57%"
"07/01/1988","387.33","387.33","397.54","382.13","","-1.86%"
"08/01/1988","376.55","376.55","389.50","372.20","","-2.78%"
"09/01/1988","387.71","387.71","388.37","372.15","","2.96%"
"10/01/1988","382.46","382.46","388.93","380.66","","-1.35%"
"11/01/1988","371.45","371.45","383.07","364.03","","-2.88%"
"12/01/1988","381.38","381.38","381.38","371.16","","2.67%"
"01/01/1989","401.30","401.30","401.41","376.87","","5.22%"
"02/01/1989","399.71","399.71","410.09","398.13","","-0.40%"
"03/01/1989","406.73","406.73","409.86","397.68","","1.76%"
"04/01/1989","427.55","427.55","427.59","406.48","","5.12%"
"05/01/1989","446.17","446.17","446.25","425.68","","4.36%"
"06/01/1989","435.29","435.29","454.59","431.72","","-2.44%"
"07/01/1989","453.84","453.84","453.86","434.35","","4.26%"
"08/01/1989","469.33","469.33","469.42","452.41","","3.41%"
"09/01/1989","472.92","472.92","474.56","464.83","","0.76%"
"10/01/1989","455.63","455.63","487.60","447.00","","-3.66%"
"11/01/1989","456.09","456.09","457.83","446.72","","0.10%"
"12/01/1989","454.82","454.82","459.40","431.70","","-0.28%"
"01/01/1990","415.81","415.81","461.72","409.98","","-8.58%"
"02/01/1990","425.83","425.83","430.92","415.79","","2.41%"
"03/01/1990","435.54","435.54","443.31","424.44","","2.28%"
"04/01/1990","420.07","420.07","438.50","416.95","","-3.55%"
"05/01/1990","458.97","458.97","459.98","420.07","","9.26%"
"06/01/1990","462.29","462.29","469.42","453.10","","0.72%"
"07/01/1990","438.24","438.24","470.30","436.76","","-5.20%"
"08/01/1990","381.21","381.21","438.59","359.67","","-13.01%"
"09/01/1990","344.51","344.51","385.19","334.54","","-9.63%"
"10/01/1990","329.84","329.84","360.97","322.93","","-4.26%"
"11/01/1990","359.06","359.06","359.06","327.75","","8.86%"
"12/01/1990","373.84","373.84","378.03","359.05","","4.12%"
"01/01/1991","414.20","414.20","414.29","352.85","","10.80%"
"02/01/1991","453.05","453.05","454.47","413.45","","9.38%"
"03/01/1991","482.30","482.30","483.48","450.26","","6.46%"
"04/01/1991","484.72","484.72","512.75","479.07","","0.50%"
"05/01/1991","506.11","506.11","506.16","476.53","","4.41%"
"06/01/1991","475.92","475.92","508.07","470.92","","-5.97%"
"07/01/1991","502.04","502.04","502.21","471.17","","5.49%"
"08/01/1991","525.68","508.27","527.76","487.00","","4.71%"
"09/01/1991","526.88","526.01","529.29","510.97","","0.23%"
"10/01/1991","542.98","527.34","543.11","513.08","","3.06%"
"11/01/1991","523.90","543.26","558.29","516.34","","-3.51%"
"12/01/1991","586.34","522.23","586.35","518.53","","11.92%"
"01/01/1992","620.21","584.28","633.08","576.04","","5.78%"
"02/01/1992","633.47","619.77","646.11","616.83","","2.14%"
"03/01/1992","603.77","633.85","637.25","599.41","","-4.69%"
"04/01/1992","578.68","601.58","603.70","557.03","","-4.16%"
"05/01/1992","585.31","579.96","591.27","571.00","","1.15%"
"06/01/1992","563.60","584.43","591.12","545.85","","-3.71%"
"07/01/1992","580.83","563.36","581.11","553.74","","3.06%"
"08/01/1992","563.12","580.75","583.90","550.23","","-3.05%"
"09/01/1992","583.27","563.21","594.27","562.19","","3.58%"
"10/01/1992","605.17","582.48","606.71","551.64","","3.75%"
"11/01/1992","652.73","605.48","652.77","603.23","","7.86%"
"12/01/1992","676.95","652.34","676.95","648.69","","3.71%"
"01/01/1993","696.34","676.78","711.29","670.40","","2.86%"
"02/01/1993","670.77","696.79","711.29","647.69","","-3.67%"
"03/01/1993","690.13","671.84","697.52","668.55","","2.89%"
"04/01/1993","661.42","690.24","691.22","644.59","","-4.16%"
"05/01/1993","700.53","662.29","707.29","661.24","","5.91%"
"06/01/1993","703.95","701.16","706.64","682.83","","0.49%"
"07/01/1993","704.70","704.42","714.12","694.49","","0.11%"
"08/01/1993","742.84","705.06","743.14","704.70","","5.41%"
"09/01/1993","762.78","742.79","766.67","724.32","","2.68%"
"10/01/1993","779.26","762.52","791.30","758.78","","2.16%"
"11/01/1993","754.39","779.78","786.26","737.53","","-3.19%"
"12/01/1993","776.80","757.40","777.02","750.25","","2.97%"
"01/01/1994","800.47","777.29","800.70","768.34","","3.05%"
"02/01/1994","792.50","799.99","800.51","767.07","","-1.00%"
"03/01/1994","743.46","793.35","804.53","731.74","","-6.19%"
"04/01/1994","733.84","737.13","755.60","703.15","","-1.29%"
"05/01/1994","735.19","735.01","742.68","703.78","","0.18%"
"06/01/1994","705.96","735.01","744.97","690.85","","-3.98%"
"07/01/1994","722.16","706.29","726.06","699.37","","2.29%"
"08/01/1994","765.62","722.84","767.67","715.77","","6.02%"
"09/01/1994","764.29","763.00","779.73","752.35","","-0.17%"
"10/01/1994","777.49","764.47","778.88","737.59","","1.73%"
"11/01/1994","750.32","776.25","777.52","728.72","","-3.49%"
"12/01/1994","751.96","748.83","752.21","710.87","","0.22%"
"01/01/1995","755.20","751.31","774.35","740.44","","0.43%"
"02/01/1995","793.73","756.68","796.24","755.20","","5.10%"
"03/01/1995","817.21","794.33","830.01","790.23","","2.96%"
"04/01/1995","843.98","816.06","844.45","810.82","","3.28%"
"05/01/1995","864.58","844.72","886.10","839.26","","2.44%"
"06/01/1995","933.45","865.67","940.21","863.76","","7.97%"
"07/01/1995","1,001.21","933.99","1,011.90","931.95","","7.26%"
"08/01/1995","1,020.11","1,001.57","1,035.35","970.60","","1.89%"
"09/01/1995","1,043.54","1,019.42","1,070.47","1,008.38","","2.30%"
"10/01/1995","1,036.06","1,041.39","1,050.69","956.98","","-0.72%"
"11/01/1995","1,059.20","1,037.30","1,068.80","1,016.36","","2.23%"
"12/01/1995","1,052.13","1,060.66","1,075.14","1,001.37","","-0.67%"
"01/01/1996","1,059.79","1,052.83","1,059.81","969.95","","0.73%"
"02/01/1996","1,100.05","1,058.26","1,122.05","1,057.70","","3.80%"
"03/01/1996","1,101.40","1,098.94","1,119.89","1,057.73","","0.12%"
"04/01/1996","1,190.52","1,105.77","1,191.17","1,092.23","","8.09%"
"05/01/1996","1,243.43","1,190.48","1,252.92","1,163.02","","4.44%"
"06/01/1996","1,185.02","1,242.54","1,254.32","1,147.58","","-4.70%"
"07/01/1996","1,080.59","1,185.64","1,199.98","1,008.44","","-8.81%"
"08/01/1996","1,141.50","1,081.34","1,154.03","1,080.41","","5.64%"
"09/01/1996","1,226.92","1,133.30","1,237.26","1,123.14","","7.48%"
"10/01/1996","1,221.51","1,223.73","1,269.62","1,202.36","","-0.44%"
"11/01/1996","1,292.61","1,223.72","1,293.75","1,165.81","","5.82%"
"12/01/1996","1,291.03","1,294.78","1,328.95","1,251.03","","-0.12%"
"01/01/1997","1,379.85","1,292.65","1,400.53","1,272.34","","6.88%"
"02/01/1997","1,309.00","1,383.97","1,384.51","1,296.88","","-5.13%"
"03/01/1997","1,221.70","1,306.21","1,332.49","1,220.40","","-6.67%"
"04/01/1997","1,260.76","1,211.28","1,267.41","1,194.16","","3.20%"
"05/01/1997","1,400.32","1,263.93","1,414.26","1,260.94","","11.07%"
"06/01/1997","1,442.07","1,407.07","1,458.85","1,375.45","","2.98%"
"07/01/1997","1,593.81","1,442.65","1,595.76","1,432.42","","10.52%"
"08/01/1997","1,587.32","1,594.67","1,638.26","1,545.13","","-0.41%"
"09/01/1997","1,685.69","1,595.07","1,702.49","1,587.32","","6.20%"
"10/01/1997","1,593.61","1,690.79","1,748.78","1,465.84","","-5.46%"
"11/01/1997","1,600.55","1,609.62","1,654.43","1,526.85","","0.44%"
"12/01/1997","1,570.35","1,608.56","1,652.84","1,486.23","","-1.89%"
"01/01/1998","1,619.36","1,574.10","1,629.54","1,465.61","","3.12%"
"02/01/1998","1,770.51","1,640.06","1,783.74","1,619.36","","9.33%"
"03/01/1998","1,835.68","1,778.72","1,840.83","1,708.48","","3.68%"
"04/01/1998","1,868.41","1,838.15","1,931.83","1,788.74","","1.78%"
"05/01/1998","1,778.87","1,871.81","1,890.80","1,741.72","","-4.79%"
"06/01/1998","1,894.74","1,770.37","1,898.76","1,715.04","","6.51%"
"07/01/1998","1,872.39","1,904.24","2,028.18","1,871.72","","-1.18%"
"08/01/1998","1,499.25","1,869.72","1,874.31","1,498.73","","-19.93%"
"09/01/1998","1,693.84","1,509.01","1,769.71","1,475.49","","12.98%"
"10/01/1998","1,771.39","1,663.30","1,781.63","1,357.09","","4.58%"
"11/01/1998","1,949.54","1,783.71","2,025.04","1,771.40","","10.06%"
"12/01/1998","2,192.69","1,928.51","2,200.63","1,924.15","","12.47%"
"01/01/1999","2,505.89","2,207.54","2,506.68","2,192.68","","14.28%"
"02/01/1999","2,288.03","2,522.38","2,533.44","2,224.21","","-8.69%"
"03/01/1999","2,461.40","2,286.83","2,520.63","2,235.19","","7.58%"
"04/01/1999","2,542.85","2,493.07","2,677.76","2,329.87","","3.31%"
"05/01/1999","2,470.52","2,546.33","2,632.74","2,339.12","","-2.84%"
